source	title	timestamp
ai	Airfoil	2026-03-07T15:33:26.327577
ai	Open source AI is the path forward	2026-03-07T15:33:26.327593
ai	My AI skeptic friends are all nuts	2026-03-07T15:33:26.327599
ai	An AI agent published a hit piece on me	2026-03-07T15:33:26.327603
ai	Gemini AI	2026-03-07T15:33:26.327607
ai	IDF killed Gaza aid workers at point blank range in 2025 massacre: Report	2026-03-07T15:33:26.327610
ai	Bypassing airport security via SQL injection	2026-03-07T15:33:26.327614
ai	Air Con: $1697 for an on/off switch	2026-03-07T15:33:26.327618
ai	Google Duplex: An AI System for Accomplishing Real World Tasks Over the Phone	2026-03-07T15:33:26.327622
ai	Paper Airplane Designs	2026-03-07T15:33:26.327630
automation	Open-Source Home Automation	2026-03-07T15:33:26.595256
automation	Do-nothing scripting: the key to gradual automation (2019)	2026-03-07T15:33:26.595267
automation	N8n.io – Workflow automation alternative to Zapier	2026-03-07T15:33:26.595271
automation	Do-nothing scripting: the key to gradual automation	2026-03-07T15:33:26.595274
automation	GitHub launches Actions, its workflow automation tool	2026-03-07T15:33:26.595277
automation	Google Docs gets an API for task automation	2026-03-07T15:33:26.595281
automation	Do-nothing scripting: the key to gradual automation (2019)	2026-03-07T15:33:26.595284
automation	Mindustry: Open-source automation tower defense game	2026-03-07T15:33:26.595287
automation	Home Assistant – open-source home automation	2026-03-07T15:33:26.595290
automation	Home Assistant is an open-source home automation platform running on Python 3	2026-03-07T15:33:26.595294
payments	Apple and Google must allow other in-app payment systems, Korean law declares	2026-03-07T15:33:26.880025
payments	Stripe: instant payment processing for developers	2026-03-07T15:33:26.880038
payments	Stripe Payment Links	2026-03-07T15:33:26.880043
payments	Apple Music on Android requires its own payment details to avoid Google 30% cut	2026-03-07T15:33:26.880048
payments	Apple unveils contactless payments via Tap to Pay on iPhone	2026-03-07T15:33:26.880051
payments	Tesla buys $1.5B in Bitcoin, may accept it as payment in the future	2026-03-07T15:33:26.880056
payments	Stripe banned us for payment disputes but we never had a single dispute	2026-03-07T15:33:26.880060
payments	Fed announces details of new interbank service to support instant payments	2026-03-07T15:33:26.880064
payments	Brazil's government-run payments system has become dominant	2026-03-07T15:33:26.880068
payments	Checkout.com hacked, refuses ransom payment, donates to security labs	2026-03-07T15:33:26.880072
startup	Ask HN: I'm a software engineer going blind, how should I prepare?	2026-03-07T15:33:27.245776
startup	Tell HN: Help restore the tax deduction for software dev in the US (Section 174)	2026-03-07T15:33:27.245789
startup	Email Encryption Software Relies on One Guy, Who Is Going Broke	2026-03-07T15:33:27.245793
startup	Tech sector job interviews assess anxiety, not software skills: study	2026-03-07T15:33:27.245797
startup	Things I’ve learned in my 20 years as a software engineer	2026-03-07T15:33:27.245801
startup	TikTok streaming software is an illegal fork of OBS	2026-03-07T15:33:27.245804
startup	OBS Studio: Open-source software for video recording and live streaming	2026-03-07T15:33:27.245808
startup	The Stuxnet worm may be the most sophisticated software ever written	2026-03-07T15:33:27.245811
startup	Andrej Karpathy: Software in the era of AI [video]	2026-03-07T15:33:27.245815
startup	Why Enterprise Software Sucks	2026-03-07T15:33:27.245819
