score	src	seed	impressions	position	pillar	cluster	cluster_title	url
160	trend	stripe chargeback increase 2025	0	0.0	payments	chargebacks	Chargebacks & Disputes	
160	trend	ev charging installation cost san diego	0	0.0	energy-ev	ev-charging	EV Charging & Tesla Charging	
160	trend	usdc payments for service businesses	0	0.0	payments	payments-overview	Payment Processing (Overview)	
160	trend	chatbot for local business cost	0	0.0	ai-automation	ai-customer-service	AI Customer Service	
160	trend	lower credit card fees small business	0	0.0	problem-intelligence	general	General Problems	
160	trend	ac repair cost san diego	0	0.0	ai-automation	ai-cost	AI Automation Cost & ROI	
160	trend	water heater replacement cost san diego	0	0.0	problem-intelligence	general	General Problems	
160	trend	electrical panel upgrade cost san diego	0	0.0	problem-intelligence	general	General Problems	
130	manual	payment processing savings calculator	0	0.0	payments	payments-overview	Payment Processing (Overview)	
130	manual	chargeback win rate guide for merchants	0	0.0	payments	chargebacks	Chargebacks & Disputes	
130	manual	best ev home charger san diego	0	0.0	problem-intelligence	general	General Problems	
130	manual	stripe vs square comparison	0	0.0	payments	stripe	Stripe Troubleshooting	
130	manual	quickbooks vs xero san diego	0	0.0	problem-intelligence	general	General Problems	
130	manual	best ai scheduling tools 2025	0	0.0	ai-automation	ai-scheduling	AI Scheduling & Booking	
130	manual	ai receptionist cost comparison	0	0.0	ai-automation	ai-cost	AI Automation Cost & ROI	
120	trend	ai receptionist for small business	0	0.0	problem-intelligence	general	General Problems	
120	trend	ai phone answering for contractors	0	0.0	problem-intelligence	general	General Problems	
120	trend	stripe fee increase small business	0	0.0	payments	stripe	Stripe Troubleshooting	
120	trend	tesla charging slow after software update	0	0.0	energy-ev	ev-charging	EV Charging & Tesla Charging	
120	trend	heat pump freezing up at night san diego	0	0.0	home-systems	hvac	HVAC Troubleshooting	
120	trend	solana pay for merchants	0	0.0	payments	payments-overview	Payment Processing (Overview)	
120	trend	sdge ev rate plan savings	0	0.0	problem-intelligence	general	General Problems	
120	trend	llm agents for local business	0	0.0	problem-intelligence	general	General Problems	
120	trend	ai scheduling for plumbers	0	0.0	ai-automation	ai-scheduling	AI Scheduling & Booking	
120	trend	ai scheduling for hvac companies	0	0.0	ai-automation	ai-scheduling	AI Scheduling & Booking	
120	trend	ai scheduling for dental offices	0	0.0	ai-automation	ai-scheduling	AI Scheduling & Booking	
120	trend	crypto payments without volatility	0	0.0	payments	payments-overview	Payment Processing (Overview)	
120	trend	n8n automation for small business	0	0.0	ai-automation	ai-tools	AI Automation Tools	
120	trend	zapier alternative cheaper	0	0.0	ai-automation	ai-tools	AI Automation Tools	
120	trend	make com automation examples	0	0.0	problem-intelligence	general	General Problems	
120	trend	ai invoicing automation	0	0.0	problem-intelligence	general	General Problems	
120	trend	merchant account alternatives to stripe	0	0.0	payments	stripe	Stripe Troubleshooting	
120	trend	hvac not cooling san diego summer	0	0.0	home-systems	hvac	HVAC Troubleshooting	
120	trend	who do i call for ac not cooling	0	0.0	home-systems	ac-problems	AC Problems	
120	trend	who do i call for water heater leak	0	0.0	problem-intelligence	general	General Problems	
90	manual	ai automation for restaurants	0	0.0	ai-automation	ai-overview	AI Automation (Overview)	
90	manual	ai automation for plumbers	0	0.0	ai-automation	ai-overview	AI Automation (Overview)	
90	manual	ai automation for dental offices	0	0.0	ai-automation	ai-overview	AI Automation (Overview)	
90	manual	ai automation for real estate agents	0	0.0	ai-automation	ai-overview	AI Automation (Overview)	
90	manual	ai automation for accounting firms	0	0.0	ai-automation	ai-overview	AI Automation (Overview)	
90	manual	hvac troubleshooting decision tree	0	0.0	home-systems	hvac	HVAC Troubleshooting	
90	manual	crypto wallet safety checklist	0	0.0	crypto-web3	wallets	Crypto Wallets & Safety	
90	manual	solana pay setup guide	0	0.0	crypto-web3	wallets	Crypto Wallets & Safety	
90	manual	who do i call checklist san diego	0	0.0	operator-tools	tools	Operator Tools	
90	manual	local seo for san diego small business	0	0.0	problem-intelligence	general	General Problems	
90	manual	google business profile optimization san diego	0	0.0	problem-intelligence	general	General Problems	
